ad_group,keyword,match_types,suggested_cpc_low,suggested_cpc_high,estimated_volume,competition,search_intent,composite_score,priority,expected_monthly_clicks,expected_monthly_conversions,theme_monthly_budget,source
Brand Terms,nutrabay price,"Exact, Phrase",0.31,0.85,500,Low,transactional,7.65,High,20,0.4,1053.0,brand_variant
Brand Terms,nutrabay store,"Exact, Phrase",0.36,0.84,618,Low,transactional,7.65,High,25,0.5,1053.0,brand_variant
Brand Terms,gym supplements nutrabay,"Exact, Phrase",0.25,0.98,1016,Low,navigational,7.55,High,65,1.3,1053.0,brand_variant
Brand Terms,nutrabay gym supplements,"Exact, Phrase",0.31,0.95,1110,Low,navigational,7.55,High,71,1.4,1053.0,brand_variant
Brand Terms,bodybuilding supplements nutrabay,"Exact, Phrase",0.3,0.89,1468,Low,navigational,7.55,High,94,1.9,1053.0,brand_variant
Brand Terms,nutrabay muscle building supplements,"Exact, Phrase",0.34,0.92,1017,Low,navigational,7.55,High,65,1.3,1053.0,brand_variant
Brand Terms,protein isolate nutrabay,"Exact, Phrase",0.34,0.89,1055,Low,navigational,7.55,High,68,1.4,1053.0,brand_variant
Brand Terms,nutrabay website,"Exact, Phrase",0.35,0.85,1431,Low,navigational,7.55,High,92,1.8,1053.0,brand_variant
Brand Terms,nutrabay bodybuilding supplements,"Exact, Phrase",0.35,0.86,1050,Low,navigational,7.55,High,67,1.3,1053.0,brand_variant
Brand Terms,muscle building supplements nutrabay,"Exact, Phrase",0.3,0.94,1146,Low,navigational,7.55,High,73,1.5,1053.0,brand_variant
Brand Terms,protein powder nutrabay,"Exact, Phrase",0.31,0.89,1416,Low,navigational,7.55,High,91,1.8,1053.0,brand_variant
Brand Terms,nutrabay whey protein,"Exact, Phrase",0.29,0.85,500,Low,navigational,7.05,High,32,0.6,1053.0,brand_variant
Brand Terms,nutrabay reviews,"Exact, Phrase",0.32,0.98,500,Low,navigational,7.05,High,32,0.6,1053.0,brand_variant
Brand Terms,nutrabay products,"Exact, Phrase",0.36,0.98,500,Low,navigational,7.05,High,32,0.6,1053.0,brand_variant
Brand Terms,nutrabay,"Exact, Phrase",0.25,0.96,596,Low,navigational,7.05,High,38,0.8,1053.0,brand_variant
Brand Terms,nutrabay contact,"Exact, Phrase",0.29,0.91,500,Low,navigational,7.05,High,32,0.6,1053.0,brand_variant
Brand Terms,nutrabay support,"Exact, Phrase",0.25,0.92,500,Low,navigational,7.05,High,32,0.6,1053.0,brand_variant
Brand Terms,bigmuscles nutrition vs nutrabay,"Exact, Phrase",0.71,1.64,3032,Medium,navigational,7.05,High,146,2.9,1053.0,competitor_variant
Brand Terms,nutrabay official,"Exact, Phrase",0.36,0.95,620,Low,navigational,7.05,High,40,0.8,1053.0,brand_variant
Brand Terms,pre workout nutrabay,"Exact, Phrase",0.25,0.86,953,Low,navigational,7.05,High,61,1.2,1053.0,brand_variant
Brand Terms,mass gainer nutrabay,"Exact, Phrase",0.29,0.85,648,Low,navigational,7.05,High,41,0.8,1053.0,brand_variant
Brand Terms,sports nutrition nutrabay,"Exact, Phrase",0.25,0.84,979,Low,navigational,7.05,High,63,1.3,1053.0,brand_variant
Brand Terms,nutrabay protein powder,"Exact, Phrase",0.26,0.84,500,Low,navigational,7.05,High,32,0.6,1053.0,brand_variant
Brand Terms,fitness nutrition nutrabay,"Exact, Phrase",0.3,0.85,966,Low,navigational,7.05,High,62,1.2,1053.0,brand_variant
Brand Terms,whey protein nutrabay,"Exact, Phrase",0.25,0.82,500,Low,navigational,7.05,High,32,0.6,1053.0,brand_variant
Category Terms,protein isolate purchase,"Exact, Phrase",0.25,0.73,5305,Low,transactional,8.75,Medium,212,4.2,702.0,commercial_variant
Category Terms,gym supplements reviews,"Phrase, Broad",0.25,0.75,6220,Low,commercial,8.65,Medium,149,3.0,702.0,commercial_variant
Category Terms,fitness nutrition,"Phrase, Broad",0.25,0.82,6274,Low,commercial,8.45,Medium,151,3.0,702.0,seed_direct
Category Terms,fitness nutrition purchase,"Exact, Phrase",0.25,0.82,2034,Low,transactional,8.25,Medium,81,1.6,702.0,commercial_variant
Category Terms,cheap sports nutrition,"Exact, Phrase",0.3,0.75,3483,Low,transactional,8.25,Medium,139,2.8,702.0,commercial_variant
Category Terms,protein powder discount,"Exact, Phrase",0.25,0.8,2096,Low,transactional,8.25,Medium,84,1.7,702.0,commercial_variant
Category Terms,cheap protein powder,"Exact, Phrase",0.25,0.82,2792,Low,transactional,8.25,Medium,112,2.2,702.0,commercial_variant
Category Terms,cheap fitness nutrition,"Exact, Phrase",0.25,0.75,2843,Low,transactional,8.25,Medium,114,2.3,702.0,commercial_variant
Category Terms,protein powder cost,"Exact, Phrase",0.25,0.81,2982,Low,transactional,8.25,Medium,119,2.4,702.0,commercial_variant
Category Terms,protein isolate cost,"Exact, Phrase",0.25,0.82,3590,Low,transactional,8.25,Medium,144,2.9,702.0,commercial_variant
Category Terms,bodybuilding supplements cost,"Exact, Phrase",0.28,0.74,4364,Low,transactional,8.25,Medium,175,3.5,702.0,commercial_variant
Category Terms,fitness nutrition reviews,"Phrase, Broad",0.28,0.77,2811,Low,commercial,8.15,Medium,67,1.3,702.0,commercial_variant
Category Terms,whey protein reviews,"Phrase, Broad",0.26,0.73,2907,Low,commercial,8.15,Medium,70,1.4,702.0,commercial_variant
Category Terms,protein isolate review,"Phrase, Broad",0.26,0.78,2105,Low,commercial,8.15,Medium,51,1.0,702.0,commercial_variant
Category Terms,whey protein online,"Phrase, Broad",0.25,0.7,2764,Low,commercial,7.95,Medium,66,1.3,702.0,commercial_variant
Category Terms,natural fitness nutrition,"Phrase, Broad",0.25,0.78,3383,Low,commercial,7.95,Medium,81,1.6,702.0,longtail_variant
Category Terms,bodybuilding supplements offers,"Phrase, Broad",0.26,0.73,4314,Low,commercial,7.95,Medium,104,2.1,702.0,commercial_variant
Category Terms,fitness nutrition offers,"Phrase, Broad",0.25,0.69,2453,Low,commercial,7.95,Medium,59,1.2,702.0,commercial_variant
Category Terms,organic sports nutrition,"Phrase, Broad",0.25,0.72,2930,Low,commercial,7.95,Medium,70,1.4,702.0,longtail_variant
Category Terms,sports nutrition,"Phrase, Broad",0.25,0.73,4877,Low,commercial,7.95,Medium,117,2.3,702.0,seed_direct
Category Terms,protein isolate,"Phrase, Broad",0.26,0.79,3559,Low,commercial,7.95,Medium,85,1.7,702.0,seed_direct
Category Terms,sports nutrition dosage,"Phrase, Broad",0.26,0.77,2773,Low,commercial,7.95,Medium,67,1.3,702.0,longtail_variant
Category Terms,pre workout purchase,"Exact, Phrase",0.25,0.69,3944,Low,transactional,7.85,Medium,158,3.2,702.0,commercial_variant
Category Terms,fitness nutrition discount,"Exact, Phrase",0.25,0.74,1807,Low,transactional,7.75,Medium,72,1.4,702.0,commercial_variant
Category Terms,bodybuilding supplements purchase,"Exact, Phrase",0.29,0.72,1373,Low,transactional,7.75,Medium,55,1.1,702.0,commercial_variant
Competitor Terms,gym supplements vs protein powder,"Phrase, Exact",0.25,0.58,2015,Low,commercial,7.95,Medium,48,1.0,702.0,longtail_variant
Competitor Terms,sports nutrition vs protein powder,"Phrase, Exact",0.25,0.56,3137,Low,commercial,7.95,Medium,75,1.5,702.0,longtail_variant
Competitor Terms,pre workout vs protein powder,"Phrase, Exact",0.25,0.59,1484,Low,commercial,7.45,Medium,36,0.7,702.0,longtail_variant
Competitor Terms,protein powder vs protein powder,"Phrase, Exact",0.3,0.85,2829,Medium,commercial,7.35,Medium,51,1.0,702.0,longtail_variant
Competitor Terms,protein isolate vs protein powder,"Phrase, Exact",0.39,0.82,3239,Medium,commercial,7.35,Medium,58,1.2,702.0,longtail_variant
Competitor Terms,alternative to bigmuscles nutrition,"Phrase, Exact",0.5,1.22,3778,Medium,commercial,6.95,Medium,68,1.4,702.0,competitor_variant
Competitor Terms,bigmuscles nutrition replacement,"Phrase, Exact",0.41,1.16,4316,Medium,commercial,6.95,Medium,78,1.6,702.0,competitor_variant
Competitor Terms,muscle building supplements vs protein powder,"Phrase, Exact",0.25,0.59,950,Low,commercial,6.95,Medium,23,0.5,702.0,longtail_variant
Competitor Terms,mass gainer vs protein powder,"Phrase, Exact",0.25,0.53,713,Low,commercial,6.95,Medium,17,0.3,702.0,longtail_variant
Competitor Terms,like bigmuscles nutrition but better,"Phrase, Exact",0.39,0.84,2336,Medium,informational,6.75,Medium,28,0.6,702.0,competitor_variant
Competitor Terms,bigmuscles nutrition competitor,"Phrase, Exact",0.5,1.05,1528,Medium,commercial,6.45,Medium,28,0.6,702.0,competitor_variant
Competitor Terms,better than bigmuscles nutrition,"Phrase, Exact",0.45,1.17,4491,Medium,informational,6.35,Medium,54,1.1,702.0,competitor_variant
Competitor Terms,whey protein vs protein powder,"Phrase, Exact",0.35,0.82,500,Medium,commercial,6.35,Medium,9,0.2,702.0,longtail_variant
Competitor Terms,fitness nutrition vs protein powder,"Phrase, Exact",0.35,0.86,768,Medium,commercial,6.35,Medium,14,0.3,702.0,longtail_variant
Competitor Terms,bodybuilding supplements vs protein powder,"Phrase, Exact",0.3,0.9,690,Medium,commercial,6.35,Medium,12,0.2,702.0,longtail_variant
Competitor Terms,bigmuscles nutrition alternative,"Phrase, Exact",0.54,1.05,995,Medium,commercial,5.95,Medium,18,0.4,702.0,competitor_variant
Location-based Queries,protein powder delivery hyderabad,"Exact, Phrase",0.25,0.63,2623,Low,transactional,8.25,High,105,2.1,1053.0,location_variant
Location-based Queries,whey protein delivery pune,"Exact, Phrase",0.25,0.57,4597,Low,transactional,8.25,High,184,3.7,1053.0,location_variant
Location-based Queries,gym supplements delivery hyderabad,"Exact, Phrase",0.25,0.62,3496,Low,transactional,8.25,High,140,2.8,1053.0,location_variant
Location-based Queries,sports nutrition delivery pune,"Exact, Phrase",0.25,0.61,2251,Low,transactional,8.25,High,90,1.8,1053.0,location_variant
Location-based Queries,muscle building supplements delivery bengaluru,"Exact, Phrase",0.25,0.45,2889,Low,transactional,8.25,High,116,2.3,1053.0,location_variant
Location-based Queries,muscle building supplements delivery delhi,"Exact, Phrase",0.25,0.5,2285,Low,transactional,8.25,High,91,1.8,1053.0,location_variant
Location-based Queries,protein powder delivery mumbai,"Exact, Phrase",0.25,0.65,3226,Low,transactional,8.25,High,129,2.6,1053.0,location_variant
Location-based Queries,whey protein delivery hyderabad,"Exact, Phrase",0.25,0.63,2962,Low,transactional,8.25,High,118,2.4,1053.0,location_variant
Location-based Queries,fitness nutrition delivery delhi,"Exact, Phrase",0.25,0.55,4118,Low,transactional,8.25,High,165,3.3,1053.0,location_variant
Location-based Queries,best protein powder pune,Phrase,0.25,0.58,3136,Low,commercial,8.15,High,75,1.5,1053.0,location_variant
Location-based Queries,best mass gainer delhi,Phrase,0.25,0.54,4023,Low,commercial,8.15,High,97,1.9,1053.0,location_variant
Location-based Queries,best protein isolate bengaluru,Phrase,0.25,0.58,3124,Low,commercial,8.15,High,75,1.5,1053.0,location_variant
Location-based Queries,best whey protein hyderabad,Phrase,0.25,0.57,2855,Low,commercial,8.15,High,69,1.4,1053.0,location_variant
Location-based Queries,best sports nutrition hyderabad,Phrase,0.25,0.59,3175,Low,commercial,8.15,High,76,1.5,1053.0,location_variant
Location-based Queries,best sports nutrition mumbai,Phrase,0.25,0.66,3477,Low,commercial,8.15,High,83,1.7,1053.0,location_variant
Location-based Queries,best sports nutrition pune,Phrase,0.25,0.59,3532,Low,commercial,8.15,High,85,1.7,1053.0,location_variant
Location-based Queries,gym supplements bengaluru,Phrase,0.25,0.55,3190,Low,commercial,7.95,High,77,1.5,1053.0,location_variant
Location-based Queries,pune bodybuilding supplements,Phrase,0.25,0.58,2363,Low,commercial,7.95,High,57,1.1,1053.0,location_variant
Location-based Queries,pune protein isolate,Phrase,0.25,0.6,2356,Low,commercial,7.95,High,57,1.1,1053.0,location_variant
Location-based Queries,protein powder delhi,Phrase,0.25,0.58,2951,Low,commercial,7.95,High,71,1.4,1053.0,location_variant
Location-based Queries,sports nutrition pune,Phrase,0.25,0.54,2874,Low,commercial,7.95,High,69,1.4,1053.0,location_variant
Location-based Queries,gym supplements delhi,Phrase,0.25,0.6,3683,Low,commercial,7.95,High,88,1.8,1053.0,location_variant
Location-based Queries,fitness nutrition pune,Phrase,0.25,0.59,2252,Low,commercial,7.95,High,54,1.1,1053.0,location_variant
Location-based Queries,pre workout mumbai,Phrase,0.25,0.61,3829,Low,commercial,7.75,High,92,1.8,1053.0,location_variant
Location-based Queries,mass gainer pune,Phrase,0.25,0.54,2278,Low,commercial,7.75,High,55,1.1,1053.0,location_variant
Long-Tail Informational,muscle building supplements cost,"Exact, Broad",0.25,0.5,3502,Low,transactional,8.25,Low,140,2.8,491.0,commercial_variant
Long-Tail Informational,cheap muscle building supplements,"Exact, Broad",0.25,0.54,2856,Low,transactional,8.25,Low,114,2.3,491.0,commercial_variant
Long-Tail Informational,gym supplements for sale,"Exact, Broad",0.25,0.57,4792,Low,transactional,8.25,Low,192,3.8,491.0,commercial_variant
Long-Tail Informational,fitness nutrition for sale,"Exact, Broad",0.29,0.88,6209,Medium,transactional,7.75,Low,186,3.7,491.0,commercial_variant
Long-Tail Informational,protein powder for sale,"Exact, Broad",0.42,0.86,5434,Medium,transactional,7.75,Low,163,3.3,491.0,commercial_variant
Long-Tail Informational,muscle building supplements review,"Broad, Phrase",0.25,0.57,1448,Low,commercial,7.65,Low,35,0.7,491.0,commercial_variant
Long-Tail Informational,best time to take protein powder,"Broad, Phrase",0.25,0.42,1531,Low,commercial,7.65,Low,37,0.7,491.0,longtail_variant
Long-Tail Informational,best time to take gym supplements,"Broad, Phrase",0.25,0.45,1467,Low,commercial,7.65,Low,35,0.7,491.0,longtail_variant
Long-Tail Informational,best time to take bodybuilding supplements,"Broad, Phrase",0.25,0.4,1944,Low,commercial,7.65,Low,47,0.9,491.0,longtail_variant
Long-Tail Informational,best time to take sports nutrition,"Broad, Phrase",0.25,0.4,1634,Low,commercial,7.65,Low,39,0.8,491.0,longtail_variant
Long-Tail Informational,protein powder tips,"Broad, Phrase",0.25,0.55,2741,Low,informational,7.35,Low,44,0.9,491.0,longtail_variant
Long-Tail Informational,muscle building supplements dosage,"Broad, Phrase",0.25,0.55,2303,Low,informational,7.35,Low,37,0.7,491.0,longtail_variant
Long-Tail Informational,why use protein powder,"Broad, Phrase",0.25,0.51,2017,Low,informational,7.35,Low,32,0.6,491.0,longtail_variant
Long-Tail Informational,gym supplements tips,"Broad, Phrase",0.25,0.5,2645,Low,informational,7.35,Low,42,0.8,491.0,longtail_variant
Long-Tail Informational,whey protein for beginners,"Broad, Phrase",0.25,0.48,2359,Low,informational,7.35,Low,38,0.8,491.0,longtail_variant
Long-Tail Informational,sports nutrition for sale,"Exact, Broad",0.28,0.84,3609,Medium,transactional,7.25,Low,108,2.2,491.0,commercial_variant
Long-Tail Informational,muscle building supplements for sale,"Exact, Broad",0.25,0.73,3506,Medium,transactional,7.25,Low,105,2.1,491.0,commercial_variant
Long-Tail Informational,order muscle building supplements,"Exact, Broad",0.35,0.87,2815,Medium,transactional,7.25,Low,84,1.7,491.0,commercial_variant
Long-Tail Informational,muscle building supplements purchase,"Exact, Broad",0.36,0.9,3337,Medium,transactional,7.25,Low,100,2.0,491.0,commercial_variant
Long-Tail Informational,best time to take fitness nutrition,"Broad, Phrase",0.25,0.43,566,Low,commercial,7.15,Low,14,0.3,491.0,longtail_variant
Long-Tail Informational,best time to take whey protein,"Broad, Phrase",0.26,0.75,2646,Medium,commercial,7.15,Low,48,1.0,491.0,longtail_variant
Long-Tail Informational,best time to take protein isolate,"Broad, Phrase",0.29,0.75,2030,Medium,commercial,7.15,Low,37,0.7,491.0,longtail_variant
Long-Tail Informational,where to buy muscle building supplements,"Exact, Broad",0.37,1.16,5581,High,transactional,6.95,Low,112,2.2,491.0,commercial_variant
Long-Tail Informational,where to buy protein isolate,"Exact, Broad",0.53,1.12,5588,High,transactional,6.95,Low,112,2.2,491.0,commercial_variant
Long-Tail Informational,where to buy fitness nutrition,"Exact, Broad",0.45,1.08,6948,High,transactional,6.95,Low,139,2.8,491.0,commercial_variant
